bam	Num	Proportion
AgeSY10_R1_F	314	0.0358
AgeSY10_R1_M	582	0.0694
AgeSY10_R2_F	499	0.0462
AgeSY10_R2_M	574	0.0536
AgeSY10_R3_F	384	0.0368
AgeSY10_R3_M	444	0.0426
AgeSY10_R4_F	565	0.0501
AgeSY10_R4_M	685	0.062
AgeSY10_R5_F	687	0.0701
AgeSY10_R5_M	849	0.0847
AgeSY10_R6_F	554	0.0556
AgeSY10_R6_M	541	0.0543
AgeSY10_R7_F	544 0.0522
AgeSY10_R7_M	592	0.0569
AgeSY10_R8_F	701	0.0717
AgeSY10_R8_M	538	0.0562
AgeSY10_R9_F	417	0.0401
AgeSY10_R9_M	564	0.0543
AgeSY10_R10_F	381	0.0355
AgeSY10_R10_M	483	0.0450
AgeSY10_R11_F	
AgeSY10_R11_M	
AgeSY20_R1_F	834	0.0953
AgeSY20_R1_M	868	0.1035
AgeSY20_R2_F	431	0.0399
AgeSY20_R2_M	858	0.0802
AgeSY20_R3_F	456	0.0437
AgeSY20_R3_M	482	0.0462
AgeSY20_R4_F	348	0.0309
AgeSY20_R4_M	757	0.0686
AgeSY20_R5_F	491	0.0491
AgeSY20_R5_M	1087	0.1083
AgeSY20_R6_F	585	0.0580
AgeSY20_R6_M	620	0.0615
AgeSY20_R7_F	538	0.0512
AgeSY20_R7_M	418	0.0398
AgeSY20_R8_F	661	0.0683
AgeSY20_R8_M	567	0.0592
AgeSY20_R9_F	640	0.0621
AgeSY20_R9_M	822	0.0798
AgeSY20_R10_F	624	0.0592
AgeSY20_R10_M	500	0.0474
AgeSY20_R11_F	
AgeSY20_R11_M	
Con_R1_F	720	NA
Con_R1_M	720	NA
Con_R2_F	715	NA
Con_R2_M	715	NA
Con_R3_F	610	NA
Con_R3_M	610	NA
Con_R4_F	720	NA
Con_R4_M	720	NA
Con_R5_F	710	NA
Con_R5_M	705	NA
Con_R6_F	835	NA
Con_R6_M	832	NA
Con_R7_F	635	NA
Con_R7_M	635	NA
Con_R8_F	631	NA
Con_R8_M	629	NA
Con_R9_F	607	NA
Con_R9_M	607	NA
Con_R10_F	651	NA
Con_R10_M	651	NA
Con_R11_F	704	NA
Con_R11_M	704	NA
