"filesize" "bam" "longTRT" "Replicate" "Sex" "TRT" "REP" "REPrep" "Num" "Proportion"
"1" 0 "AgeSY10_R2_F" "AgeSY10" "R2" FALSE "Z" 2 1 499 0.0462
"2" 0 "AgeSY10_R4_F" "AgeSY10" "R4" FALSE "Z" 4 1 565 0.0501
"3" 0 "AgeSY10_R6_F" "AgeSY10" "R6" FALSE "Z" 6 1 554 0.0556
"4" 0 "AgeSY10_R8_F" "AgeSY10" "R8" FALSE "Z" 8 1 701 0.0717
"5" 0 "AgeSY10_R10_F" "AgeSY10" "R10" FALSE "Z" 10 1 381 0.0355
"6" 0 "AgeSY10_R12_F" "AgeSY10" "R12" FALSE "Z" 12 1 387 0.0353
"7" 0 "Con_R2_F" "Con" "R2" FALSE "C" 2 1 715 NA
"8" 0 "Con_R4_F" "Con" "R4" FALSE "C" 4 1 720 NA
"9" 0 "Con_R6_F" "Con" "R6" FALSE "C" 6 1 835 NA
"10" 0 "Con_R8_F" "Con" "R8" FALSE "C" 8 1 631 NA
"11" 0 "Con_R10_F" "Con" "R10" FALSE "C" 10 1 651 NA
"12" 0 "Con_R12_F" "Con" "R12" FALSE "C" 12 1 650 NA
