"filesize" "bam" "longTRT" "Replicate" "Sex" "TRT" "REP" "REPrep" "Num" "Proportion"
"1" 0 "AgeSY20_R1_F" "AgeSY20" "R1" FALSE "Z" 1 1 834 0.0953
"2" 0 "AgeSY20_R3_F" "AgeSY20" "R3" FALSE "Z" 3 1 456 0.0437
"3" 0 "AgeSY20_R5_F" "AgeSY20" "R5" FALSE "Z" 5 1 491 0.0491
"4" 0 "AgeSY20_R7_F" "AgeSY20" "R7" FALSE "Z" 7 1 538 0.0512
"5" 0 "AgeSY20_R9_F" "AgeSY20" "R9" FALSE "Z" 9 1 640 0.0621
"6" 0 "AgeSY20_R11_F" "AgeSY20" "R11" FALSE "Z" 11 1 661 0.0602
"7" 0 "Con_R1_F" "Con" "R1" FALSE "C" 1 1 720 NA
"8" 0 "Con_R3_F" "Con" "R3" FALSE "C" 3 1 610 NA
"9" 0 "Con_R5_F" "Con" "R5" FALSE "C" 5 1 710 NA
"10" 0 "Con_R7_F" "Con" "R7" FALSE "C" 7 1 635 NA
"11" 0 "Con_R9_F" "Con" "R9" FALSE "C" 9 1 607 NA
"12" 0 "Con_R11_F" "Con" "R11" FALSE "C" 11 1 704 NA
