"filesize" "bam" "Num" "Proportion" "REP" "REPrep" "TRT"
"11" 9275290640 "R3_C1" 800 NA "31" 1 "C"
"12" 8883093195 "R3_C2" 680 NA "32" 1 "C"
"13" 9298951225 "R3_C3" 700 NA "33" 1 "C"
"14" 6268447335 "R3_E1" 770 0.118 "31" 1 "Z"
"15" 2162313137 "R3_E2" 660 0.158 "32" 1 "Z"
"16" 6535657301 "R3_E3" 670 0.187 "33" 1 "Z"
"21" 3170208790 "R5_C1" 190 NA "51" 1 "C"
"22" 3728615461 "R5_C2" 210 NA "52" 1 "C"
"23" 1791647951 "R5_C3" 175 NA "53" 1 "C"
"24" 9902939214 "R5_E1" 184 0.176 "51" 1 "Z"
"25" 8684528213 "R5_E2" 204 0.236 "52" 1 "Z"
"26" 5110412828 "R5_E3" 166 0.236 "53" 1 "Z"
