rep	treat	label	DNA_size	proportion_Sonia
R1	C1	R1_C1	117	NA
R1	C2	R1_C2	128	NA
R1	E1	R1_E1	97	0.012
R1	E2	R1_E2	95	0.01
R2	C1	R2_C1	760	NA
R2	C2	R2_C2	670	NA
R2	C3	R2_C3	520	NA
R2	E1	R2_E1	760	0.059
R2	E2	R2_E2	648	0.061
R2	E3	R2_E3	648	0.065
R3	C1	R3_C1	800	NA
R3	C2	R3_C2	680	NA
R3	C3	R3_C3	700	NA
R3	E1	R3_E1	770	0.118
R3	E2	R3_E2	660	0.158
R3	E3	R3_E3	670	0.187
R4	C1	R4_C1	400	NA
R4	C2	R4_C2	180	NA
R4	C3	R4_C3	460	NA
R4	E1	R4_E1	357	0.079
R4	E2	R4_E2	177	0.068
R4	E3	R4_E3	451	0.062
R5	C1	R5_C1	190	NA
R5	C2	R5_C2	210	NA
R5	C3	R5_C3	175	NA
R5	E1	R5_E1	184	0.176
R5	E2	R5_E2	204	0.236
R5	E3	R5_E3	166	0.236
