bam	Num	Proportion
Rep01_W_F	706	NA
Rep02_W_F	845	NA
Rep03_W_F	777	NA
Rep04_W_F	339	NA
Rep05_W_F	977	NA
Rep06_W_F	845	NA
Rep07_W_F	1107	NA
Rep08_W_F	298	NA
Rep09_W_F	1085	NA
Rep10_W_F	257	NA
Rep11_W_F	568	NA
Rep12_W_F	801	NA
Rep13_W_F	780	NA
Rep14_W_F	957	NA
Rep15_W_F	922	NA
Rep01_W_M	740	NA
Rep02_W_M	786	NA
Rep03_W_M	747	NA
Rep04_W_M	343	NA
Rep05_W_M	1040	NA
Rep06_W_M	872	NA
Rep07_W_M	1011	NA
Rep08_W_M	297	NA
Rep09_W_M	1060	NA
Rep10_W_M	264	NA
Rep11_W_M	540	NA
Rep12_W_M	744	NA
Rep13_W_M	848	NA
Rep14_W_M	907	NA
Rep15_W_M	882	NA
Rep01_Z_F	404	0.044
Rep02_Z_F	878	0.089
Rep03_Z_F	203	0.052
Rep04_Z_F	122	0.048
Rep05_Z_F	888	0.145
Rep06_Z_F	552	0.14
Rep07_Z_F	2156	0.159
Rep08_Z_F	559	0.16
Rep09_Z_F	877	0.123
Rep10_Z_F	280	0.15
Rep11_Z_F	253	0.111
Rep12_Z_F	401	0.11
Rep13_Z_F	891	0.167
Rep14_Z_F	683	0.14
Rep15_Z_F	1431	0.175
Rep01_Z_M	325	0.034
Rep02_Z_M	727	0.079
Rep03_Z_M	235	0.063
Rep04_Z_M	111	0.043
Rep05_Z_M	771	0.118
Rep06_Z_M	540	0.133
Rep07_Z_M	1764	0.142
Rep08_Z_M	705	0.203
Rep09_Z_M	687	0.099
Rep10_Z_M	321	0.167
Rep11_Z_M	236	0.109
Rep12_Z_M	342	0.101
Rep13_Z_M	618	0.106
Rep14_Z_M	525	0.113
Rep15_Z_M	983	0.126
