Chromosome	Position (Mb)	Position (cM)	Interval (Mb)	Width (kb)	Width (cM)	Peak treatment	-log10P SY10 F	-log10P SY20 F	-log10P SY10 M	-log10P SY20 M	h2 SY10 F	h2 SY20 F	h2 SY10 M	h2 SY20 M
Peaks exceeding -log10 P of 15 (n = 8)														
chr2L	11.95	44.4	11.84-12.02	180	0.47	SY10 male	1.4	4.1	30.5	26.9	0.08	0.13	1.37	1.25
chr2L	14.85	50.0	14.72-14.94	220	0.31	SY10 male	9.7	2.0	23.6	13.1	0.54	0.05	1.10	0.65
chr2R	13.88	69.6	13.71-13.99	280	0.83	SY20 female	19.5	19.9	9.0	7.8	0.86	0.85	0.49	0.48
chr2R	24.08	103.3	23.93-24.20	260	0.54	SY20 female	5.6	16.1	0.0	0.5	0.25	0.59	-0.04	-0.02
chr3L	7.43	20.6	7.33-7.90	570	2.28	SY20 female	9.7	20.5	1.3	6.6	0.40	0.91	0.04	0.27
chr3L	9.30	28.2	9.28-9.34	55	0.22	SY20 male	36.1	61.1	109.4	163.8	1.53	2.10	3.57	4.69
chr3L	21.62	46.9	21.37-22.86	1485	0.16	SY10 male	24.4	18.7	33.9	25.5	1.06	0.72	1.41	0.95
chr3R	8.63	48.2	8.05-8.83	775	0.28	SY10 female	39.6	28.5	23.2	22.2	1.67	1.04	1.03	0.86
Peaks between -log10 P of 7.5 and 15 (n = 10)														
chrX	10.07	30.0	9.96-10.19	235	0.87	SY10 male	2.1	0.4	9.5	2.9	0.11	0.01	0.42	0.16
chr2L	1.23	3.8	0.96-1.42	450	0.96	SY10 female	14.1	8.3	6.1	6.4	0.62	0.48	0.30	0.34
chr2R	11.69	64.6	11.66-11.88	220	0.45	SY10 male	1.4	2.9	10.1	5.0	0.12	0.21	0.58	0.34
chr2R	16.54	79.0	16.45-16.66	205	0.72	SY20 female	9.4	14.3	2.3	3.2	0.44	0.61	0.14	0.22
chr2R	18.14	84.0	18.00-18.26	260	0.70	SY20 male	1.8	6.5	7.6	12.0	0.39	0.43	0.35	0.54
chr2R	22.12	98.2	22.02-22.25	240	0.73	SY20 male	0.5	0.1	8.0	11.9	-0.00	-0.01	0.30	0.41
chr3R	14.64	55.5	14.60-14.73	140	0.26	SY10 male	1.7	0.5	11.4	4.4	0.06	0.06	1.09	0.46
chr3R	21.09	70.4	21.00-21.25	245	0.78	SY20 female	6.0	13.3	0.2	1.3	0.34	0.66	0.02	0.13
chr3R	22.40	75.4	22.22-22.50	275	1.18	SY20 female	7.6	9.7	2.6	2.2	0.35	0.42	0.14	0.12
chr3R	23.69	80.4	22.95-23.91	950	3.48	SY10 male	5.0	6.2	8.6	7.1	0.27	0.31	0.33	0.29
