# Well-separated peaks, AGE_SY 10-replicate dataset (replicates 8, 9 dropped)
# peak       = tallest window, taken top-down over the max across the four traits
# separated  = at least 5 cM from any stronger peak on the same arm
# threshold  = -log10 P > 7.5 to appear; set A is > 15, set B is 7.5 to 15
# interval   = walk left/right from the peak while within 2 of it; physical,
#              then converted to cM
# peak_trait = which treatment is highest AT the peak window
# SY10_F ... = every treatment's -log10 P at that same window
# source     = process/AGE_SY/AGE_SY_4scan_no89.txt.gz
#

chr	Mb	cM	peak_trait	peak_wald	SY10_F	SY20_F	SY10_M	SY20_M	int_cM	int_kb	int_from_Mb	int_to_Mb	set
chr3L	9.3	28.2	SY20 male	163.8	36.1	61.1	109.4	163.8	0.22	55	9.28	9.34	A: > 15
chr3R	8.63	48.2	SY10 female	39.6	39.6	28.5	23.2	22.2	0.28	775	8.05	8.83	A: > 15
chr3L	21.62	46.9	SY10 male	33.9	24.4	18.7	33.9	25.5	0.16	1485	21.37	22.86	A: > 15
chr2L	11.95	44.4	SY10 male	30.5	1.4	4.1	30.5	26.9	0.47	180	11.84	12.02	A: > 15
chr2L	14.85	50	SY10 male	23.6	9.7	2	23.6	13.1	0.31	220	14.72	14.94	A: > 15
chr3L	7.43	20.6	SY20 female	20.5	9.7	20.5	1.3	6.6	2.28	570	7.33	7.9	A: > 15
chr2R	13.88	69.6	SY20 female	19.9	19.5	19.9	9	7.8	0.83	280	13.71	13.99	A: > 15
chr2R	24.08	103.3	SY20 female	16.1	5.6	16.1	0	0.5	0.54	260	23.93	24.2	A: > 15
chr2R	16.54	79	SY20 female	14.3	9.4	14.3	2.3	3.2	0.72	205	16.45	16.66	B: 7.5 - 15
chr2L	1.23	3.8	SY10 female	14.1	14.1	8.3	6.1	6.4	0.96	450	0.96	1.42	B: 7.5 - 15
chr3R	21.09	70.4	SY20 female	13.3	6	13.3	0.2	1.3	0.78	245	21	21.25	B: 7.5 - 15
chr2R	18.14	84	SY20 male	12	1.8	6.5	7.6	12	0.7	260	18	18.26	B: 7.5 - 15
chr2R	22.12	98.2	SY20 male	11.9	0.5	0.1	8	11.9	0.73	240	22.02	22.25	B: 7.5 - 15
chr3R	14.64	55.5	SY10 male	11.4	1.7	0.5	11.4	4.4	0.26	140	14.6	14.73	B: 7.5 - 15
chr2R	11.69	64.6	SY10 male	10.1	1.4	2.9	10.1	5	0.45	220	11.66	11.88	B: 7.5 - 15
chr3R	22.4	75.4	SY20 female	9.7	7.6	9.7	2.6	2.2	1.18	275	22.22	22.5	B: 7.5 - 15
chrX	10.07	30	SY10 male	9.5	2.1	0.4	9.5	2.9	0.87	235	9.96	10.19	B: 7.5 - 15
chr3R	23.69	80.4	SY10 male	8.6	5	6.2	8.6	7.1	3.48	950	22.95	23.91	B: 7.5 - 15
